subject,ECG-Only_Acc,ECG-Only_F1,GSR-Only_Acc,GSR-Only_F1,Early-Fusion_Acc,Early-Fusion_F1
S2,0.6911764705882353,0.5070422535211268,0.6558823529411765,0.5447470817120622,0.7794117647058824,0.6636771300448431
S3,0.9825581395348837,0.9747899159663865,0.813953488372093,0.6595744680851063,0.9912790697674418,0.9875518672199171
S4,0.9481268011527377,0.925,0.9884726224783862,0.9831932773109243,1.0,1.0
S5,1.0,1.0,0.9551820728291317,0.937984496124031,1.0,1.0
S6,0.903954802259887,0.8740740740740741,0.9096045197740112,0.8666666666666667,0.9519774011299436,0.932806324110672
S7,0.9378531073446328,0.905982905982906,0.980225988700565,0.9704641350210971,0.9915254237288136,0.9875518672199171
S8,0.9887640449438202,0.984251968503937,0.7752808988764045,0.7058823529411765,0.9634831460674157,0.9516728624535316
S9,0.7337110481586402,0.5877192982456141,0.9518413597733711,0.9317269076305221,0.9008498583569405,0.8582995951417004
S10,0.8482384823848238,0.7704918032786885,0.7940379403794038,0.6513761467889908,0.9051490514905149,0.8582995951417004
S11,1.0,1.0,0.8944444444444445,0.848,1.0,1.0
S13,0.9636871508379888,0.9473684210526315,0.8016759776536313,0.6952789699570815,0.9413407821229051,0.9142857142857143
S14,1.0,1.0,0.7103064066852368,0.543859649122807,0.9721448467966574,0.9626865671641791
S15,0.7451523545706371,0.6198347107438017,0.4930747922437673,0.5145888594164456,0.6869806094182825,0.5568627450980392
S16,1.0,1.0,0.9972144846796658,0.9961089494163424,1.0,1.0
S17,0.9918918918918919,0.9891696750902527,0.8621621621621621,0.8440366972477065,0.9756756756756757,0.968421052631579
