subject,ECG-Only_Acc,ECG-Only_F1,GSR-Only_Acc,GSR-Only_F1,Late-Fusion_Acc,Late-Fusion_F1
S2,0.6794117647058824,0.47342995169082125,0.6529411764705882,0.5354330708661418,0.7558823529411764,0.6028708133971292
S3,0.9854651162790697,0.9790794979079498,0.811046511627907,0.644808743169399,0.9563953488372093,0.935064935064935
S4,0.9423631123919308,0.9152542372881356,0.9827089337175793,0.9745762711864406,0.9971181556195965,0.995850622406639
S5,1.0,1.0,0.9607843137254902,0.9444444444444444,0.9915966386554622,0.9879518072289156
S6,0.8954802259887006,0.8644688644688645,0.9124293785310734,0.8702928870292888,0.9548022598870056,0.9365079365079365
S7,0.9378531073446328,0.907563025210084,0.980225988700565,0.9704641350210971,0.9858757062146892,0.9790794979079498
S8,0.9915730337078652,0.9882352941176471,0.7808988764044944,0.7111111111111111,0.9662921348314607,0.953125
S9,0.7365439093484419,0.5829596412556054,0.9461756373937678,0.9243027888446215,0.9121813031161473,0.869198312236287
S10,0.8590785907859079,0.7851239669421488,0.8021680216802168,0.669683257918552,0.8753387533875339,0.8034188034188035
S11,1.0,1.0,0.9027777777777778,0.8571428571428571,1.0,1.0
S13,0.9664804469273743,0.9512195121951219,0.8072625698324022,0.703862660944206,0.9581005586592178,0.9372384937238494
S14,1.0,1.0,0.724233983286908,0.5676855895196506,0.9637883008356546,0.9520295202952029
S15,0.7534626038781164,0.636734693877551,0.5235457063711911,0.544973544973545,0.7534626038781164,0.6536964980544747
S16,1.0,1.0,0.9972144846796658,0.9961089494163424,1.0,1.0
S17,0.9837837837837838,0.9785714285714285,0.8837837837837837,0.8652037617554859,0.9567567567567568,0.9452054794520548
